unique_key,created_date,complaint_type,borough,district,agency,supervisor,status,closed_date,hours_open,sla_hours,sla_breach,resolution_description
SR-2026-20000040,2026-09-09T23:09:13,Elevator,BROOKLYN,Crown Heights,DOB,Insp. Tony Marchetti,Closed,2026-09-13T01:12:41,,96,NO,A violation was issued and the owner was notified.
SR-2026-20000041,2026-09-09T19:22:59,Noise - Residential,BRONX,Fordham,NYPD,Lt. Marcus Webb,Open,,121.0,24,YES,
SR-2026-20000042,2026-09-13T23:16:40,Illegal Parking,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2026-09-14T18:07:19,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000043,2026-09-13T01:27:13,Water System,MANHATTAN,Harlem,DEP,Mgr. Yvonne Blake,Open,,42.9,48,NO,
SR-2026-20000044,2026-09-09T19:22:59,Street Light Condition,MANHATTAN,Harlem,DOT,Dir. Samantha Chen,Open,,121.0,72,YES,
SR-2026-20000045,2026-09-14T08:21:13,UNSANITARY CONDITION,MANHATTAN,Washington Heights,HPD,Director Priya Nair,Open,,12.0,168,NO,
SR-2026-20000046,2026-09-13T19:51:13,Blocked Driveway,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Closed,2026-09-14T13:54:44,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000047,2026-09-12T05:22:59,Water System,BROOKLYN,Crown Heights,DEP,Mgr. Yvonne Blake,Open,,63.0,48,YES,
SR-2026-20000048,2026-09-11T15:15:13,Blocked Driveway,MANHATTAN,Chelsea,NYPD,Lt. Marcus Webb,Closed,2026-09-12T06:03:12,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000049,2026-09-14T08:21:13,Noise - Residential,MANHATTAN,East Village,NYPD,Lt. Marcus Webb,Open,,12.0,24,NO,
SR-2026-20000050,2026-09-13T06:03:13,Noise - Residential,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Closed,2026-09-14T05:39:52,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000051,2026-09-08T21:07:16,PLUMBING,BRONX,Fordham,HPD,Director Priya Nair,Closed,2026-09-14T19:47:12,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000052,2026-09-11T06:40:29,PLUMBING,MANHATTAN,Inwood,HPD,Director Priya Nair,Closed,2026-09-14T17:23:54,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000053,2026-09-08T03:36:12,PAINT/PLASTER,QUEENS,Forest Hills,HPD,Director Priya Nair,Closed,2026-09-14T13:06:14,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000054,2026-09-13T21:24:11,Request Large Bulky Item Collection,BROOKLYN,Bushwick,DSNY,Supt. Carlos Rivera,Closed,2026-09-14T19:05:04,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2026-20000055,2026-09-08T02:34:26,PAINT/PLASTER,BROOKLYN,Flatbush,HPD,Director Priya Nair,Closed,2026-09-14T06:30:24,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000056,2026-09-07T02:22:07,HEAT/HOT WATER,QUEENS,Astoria,HPD,Director Priya Nair,Closed,2026-09-14T11:34:53,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000057,2026-09-11T10:39:13,Noise - Commercial,BROOKLYN,Bushwick,NYPD,Lt. Marcus Webb,Closed,2026-09-12T11:55:39,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000058,2026-09-12T12:57:13,Blocked Driveway,BROOKLYN,Bushwick,NYPD,Lt. Marcus Webb,Closed,2026-09-13T02:44:59,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000059,2026-09-13T00:28:23,Graffiti,BROOKLYN,Bushwick,DSNY,Supt. Carlos Rivera,Closed,2026-09-14T17:26:27,,48,NO,Item was collected during the next scheduled pickup.
SR-2026-20000060,2026-09-12T12:57:13,Request Large Bulky Item Collection,QUEENS,Jackson Heights,DSNY,Supt. Carlos Rivera,Closed,2026-09-13T16:35:48,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2026-20000061,2026-09-14T06:26:13,Illegal Parking,BROOKLYN,Bushwick,NYPD,Lt. Marcus Webb,Open,,13.9,24,NO,
SR-2026-20000062,2026-09-14T04:31:13,Illegal Parking,QUEENS,Forest Hills,NYPD,Lt. Marcus Webb,Open,,15.8,24,NO,
SR-2026-20000063,2026-09-10T03:45:13,Street Light Condition,MANHATTAN,East Village,DOT,Dir. Samantha Chen,Closed,2026-09-11T02:22:23,,72,NO,A work order was issued for repair.
SR-2026-20000064,2026-09-10T06:03:13,Graffiti,BRONX,Riverdale,DSNY,Supt. Carlos Rivera,Closed,2026-09-11T05:29:04,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2026-20000065,2026-09-07T19:51:13,Non-Emergency Police Matter,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Closed,2026-09-08T12:27:47,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000066,2026-09-07T01:14:00,PAINT/PLASTER,BROOKLYN,Bushwick,HPD,Director Priya Nair,Closed,2026-09-14T02:20:03,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000067,2026-09-14T02:36:13,Noise - Residential,BRONX,Fordham,NYPD,Lt. Marcus Webb,Open,,17.8,24,NO,
SR-2026-20000068,2026-09-14T00:41:13,Noise - Residential,QUEENS,Astoria,NYPD,Lt. Marcus Webb,Open,,19.7,24,NO,
SR-2026-20000069,2026-09-14T04:31:13,PAINT/PLASTER,STATEN ISLAND,Port Richmond,HPD,Director Priya Nair,Open,,15.8,168,NO,
SR-2026-20000070,2026-09-11T12:57:13,Noise - Commercial,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Closed,2026-09-12T15:05:53,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000071,2026-09-09T15:15:13,Graffiti,MANHATTAN,Harlem,DSNY,Supt. Carlos Rivera,Closed,2026-09-10T20:40:26,,48,NO,Item was collected during the next scheduled pickup.
SR-2026-20000072,2026-09-13T23:35:22,Noise - Street/Sidewalk,BROOKLYN,Williamsburg,NYPD,Lt. Marcus Webb,Closed,2026-09-14T11:38:46,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000073,2026-09-07T15:15:13,Request Large Bulky Item Collection,BROOKLYN,Flatbush,DSNY,Supt. Carlos Rivera,Closed,2026-09-08T19:17:16,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2026-20000074,2026-09-13T22:46:13,Blocked Driveway,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Open,,21.6,24,NO,
SR-2026-20000075,2026-09-13T10:20:00,Rodent,MANHATTAN,Harlem,DOHMH,Dr. James Okafor,Closed,2026-09-14T14:04:36,,72,NO,An inspection was conducted and appropriate action was taken.
SR-2026-20000076,2026-09-08T10:39:13,Blocked Driveway,BRONX,Fordham,NYPD,Lt. Marcus Webb,Closed,2026-09-08T22:48:13,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000077,2026-09-07T03:20:20,HEAT/HOT WATER,QUEENS,Jamaica,HPD,Director Priya Nair,Closed,2026-09-14T15:31:49,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000078,2026-09-13T21:30:50,Illegal Parking,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Closed,2026-09-14T16:33:05,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000079,2026-09-06T23:22:59,Noise - Commercial,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Open,,189.0,24,YES,
SR-2026-20000080,2026-09-07T19:22:59,Non-Emergency Police Matter,BRONX,Tremont,NYPD,Lt. Marcus Webb,Open,,169.0,24,YES,
SR-2026-20000081,2026-09-13T22:08:38,Noise - Street/Sidewalk,QUEENS,Forest Hills,NYPD,Lt. Marcus Webb,Closed,2026-09-14T05:39:32,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000082,2026-09-10T04:46:59,HEAT/HOT WATER,QUEENS,Flushing,HPD,Director Priya Nair,Closed,2026-09-14T07:57:35,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000083,2026-09-07T02:25:14,PAINT/PLASTER,MANHATTAN,Harlem,HPD,Director Priya Nair,Closed,2026-09-14T06:51:50,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000084,2026-09-08T08:21:13,Blocked Driveway,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Closed,2026-09-09T08:12:36,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000085,2026-09-14T19:51:13,Noise - Commercial,MANHATTAN,Chelsea,NYPD,Lt. Marcus Webb,Open,,0.5,24,NO,
SR-2026-20000086,2026-09-08T23:09:13,Noise - Commercial,BROOKLYN,Bushwick,NYPD,Lt. Marcus Webb,Closed,2026-09-09T17:44:50,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000087,2026-09-09T08:21:13,Noise - Street/Sidewalk,STATEN ISLAND,Tottenville,NYPD,Lt. Marcus Webb,Closed,2026-09-10T08:34:47,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000088,2026-09-12T08:21:13,Illegal Parking,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Closed,2026-09-12T20:17:41,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000089,2026-09-08T19:51:13,Illegal Parking,QUEENS,Jackson Heights,NYPD,Lt. Marcus Webb,Closed,2026-09-09T12:29:57,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000090,2026-09-09T03:45:13,PLUMBING,QUEENS,Astoria,HPD,Director Priya Nair,Open,,136.6,168,NO,
SR-2026-20000091,2026-09-06T21:22:59,HEAT/HOT WATER,BRONX,Mott Haven,HPD,Director Priya Nair,Open,,191.0,168,YES,
SR-2026-20000092,2026-09-07T03:22:59,Homeless Person Assistance,BRONX,Pelham Bay,DHS,Dir. Fatima Hassan,Open,,185.0,24,YES,
SR-2026-20000093,2026-09-12T17:33:13,Noise - Residential,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2026-09-13T09:33:01,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000094,2026-09-10T08:21:13,Blocked Driveway,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Closed,2026-09-11T08:36:21,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000095,2026-09-13T08:21:13,Illegal Parking,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Closed,2026-09-13T20:20:15,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000096,2026-09-13T00:55:27,Water System,BRONX,Riverdale,DEP,Mgr. Yvonne Blake,Closed,2026-09-14T18:06:33,,48,NO,The condition was investigated and corrected.
SR-2026-20000097,2026-09-11T05:39:13,PAINT/PLASTER,BROOKLYN,Flatbush,HPD,Director Priya Nair,Closed,2026-09-14T11:03:12,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000098,2026-09-12T15:15:13,Homeless Person Assistance,BROOKLYN,Williamsburg,DHS,Dir. Fatima Hassan,Closed,2026-09-13T06:22:22,,24,NO,The individual accepted shelter placement.
SR-2026-20000099,2026-09-14T17:56:13,Homeless Person Assistance,QUEENS,Flushing,DHS,Dir. Fatima Hassan,Open,,2.4,24,NO,
SR-2026-20000100,2026-09-09T12:57:13,Blocked Driveway,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2026-09-10T02:20:00,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000101,2026-09-10T02:30:35,UNSANITARY CONDITION,BRONX,Pelham Bay,HPD,Director Priya Nair,Closed,2026-09-14T19:13:31,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000102,2026-09-11T15:15:13,Rodent,QUEENS,Astoria,DOHMH,Dr. James Okafor,Closed,2026-09-12T20:58:45,,72,NO,An inspection was conducted and appropriate action was taken.
SR-2026-20000103,2026-09-12T23:09:13,Request Large Bulky Item Collection,QUEENS,Forest Hills,DSNY,Supt. Carlos Rivera,Closed,2026-09-13T18:04:25,,48,NO,Item was collected during the next scheduled pickup.
SR-2026-20000104,2026-09-14T16:01:13,Derelict Vehicle,MANHATTAN,Inwood,NYPD,Lt. Marcus Webb,Open,,4.3,24,NO,
SR-2026-20000105,2026-09-11T08:21:13,Noise - Residential,STATEN ISLAND,New Dorp,NYPD,Lt. Marcus Webb,Closed,2026-09-11T20:14:51,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000106,2026-09-13T17:33:13,Homeless Person Assistance,BROOKLYN,Bushwick,DHS,Dir. Fatima Hassan,Closed,2026-09-14T09:47:29,,24,NO,A DHS outreach team responded and offered services.
SR-2026-20000107,2026-09-12T01:27:13,Rodent,BROOKLYN,Flatbush,DOHMH,Dr. James Okafor,Open,,66.9,72,NO,
SR-2026-20000108,2026-09-14T14:06:13,Derelict Vehicle,QUEENS,Jackson Heights,NYPD,Lt. Marcus Webb,Open,,6.2,24,NO,
SR-2026-20000109,2026-09-10T02:51:04,HEAT/HOT WATER,QUEENS,Jamaica,HPD,Director Priya Nair,Closed,2026-09-14T18:21:15,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000110,2026-09-08T12:57:13,Noise - Street/Sidewalk,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2026-09-09T14:40:51,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000111,2026-09-14T12:11:13,Blocked Driveway,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Open,,8.2,24,NO,
SR-2026-20000112,2026-09-11T17:33:13,Rodent,BROOKLYN,Bushwick,DOHMH,Dr. James Okafor,Closed,2026-09-13T22:18:53,,72,NO,An inspection was conducted and appropriate action was taken.
SR-2026-20000113,2026-09-08T03:45:13,HEAT/HOT WATER,MANHATTAN,Washington Heights,HPD,Director Priya Nair,Open,,160.6,168,NO,
SR-2026-20000114,2026-09-07T08:21:13,Blocked Driveway,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Closed,2026-09-07T19:46:19,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000115,2026-09-08T15:15:13,Blocked Driveway,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Closed,2026-09-09T05:29:42,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000116,2026-09-14T10:16:13,Blocked Driveway,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Open,,10.1,24,NO,
SR-2026-20000117,2026-09-08T14:22:59,Water System,BRONX,Fordham,DEP,Mgr. Yvonne Blake,Open,,150.0,48,YES,
SR-2026-20000118,2026-09-11T10:39:13,Illegal Parking,BRONX,Pelham Bay,NYPD,Lt. Marcus Webb,Closed,2026-09-11T23:38:39,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000119,2026-09-11T23:16:58,PLUMBING,BROOKLYN,Bushwick,HPD,Director Priya Nair,Closed,2026-09-14T16:12:35,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000120,2026-09-13T12:57:13,Homeless Person Assistance,MANHATTAN,East Village,DHS,Dir. Fatima Hassan,Closed,2026-09-14T03:02:43,,24,NO,The individual accepted shelter placement.
SR-2026-20000121,2026-09-11T01:27:13,PAINT/PLASTER,BRONX,Pelham Bay,HPD,Director Priya Nair,Open,,90.9,168,NO,
SR-2026-20000122,2026-09-12T06:29:29,PAINT/PLASTER,BRONX,Tremont,HPD,Director Priya Nair,Closed,2026-09-14T19:51:13,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000123,2026-09-11T22:30:42,HEAT/HOT WATER,QUEENS,Astoria,HPD,Director Priya Nair,Closed,2026-09-14T18:44:53,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000124,2026-09-12T23:49:58,Street Condition,QUEENS,Flushing,DOT,Dir. Samantha Chen,Closed,2026-09-14T12:54:08,,72,NO,The Department of Transportation inspected and corrected the condition.
SR-2026-20000125,2026-09-07T02:24:38,HEAT/HOT WATER,MANHATTAN,Harlem,HPD,Director Priya Nair,Closed,2026-09-14T17:28:19,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000126,2026-09-11T05:34:34,HEAT/HOT WATER,BROOKLYN,Flatbush,HPD,Director Priya Nair,Closed,2026-09-14T16:06:56,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000127,2026-09-07T01:27:13,Blocked Driveway,BRONX,Tremont,NYPD,Lt. Marcus Webb,Closed,2026-09-07T20:53:08,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000128,2026-09-08T17:33:13,Illegal Parking,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Closed,2026-09-09T08:58:24,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000129,2026-09-14T08:21:13,Illegal Parking,STATEN ISLAND,New Dorp,NYPD,Lt. Marcus Webb,Open,,12.0,24,NO,
SR-2026-20000130,2026-09-07T21:22:59,Illegal Parking,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Open,,167.0,24,YES,
SR-2026-20000131,2026-09-11T06:03:13,Blocked Driveway,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Closed,2026-09-12T05:32:34,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000132,2026-09-11T03:45:13,Noise - Residential,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Closed,2026-09-11T11:19:05,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000133,2026-09-12T21:30:28,Street Condition,BRONX,Pelham Bay,DOT,Dir. Samantha Chen,Closed,2026-09-14T19:46:51,,72,NO,A work order was issued for repair.
SR-2026-20000134,2026-09-14T06:26:13,Blocked Driveway,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Open,,13.9,24,NO,
SR-2026-20000135,2026-09-08T12:57:13,Illegal Parking,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Closed,2026-09-09T02:13:27,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000136,2026-09-08T23:09:13,PLUMBING,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Closed,2026-09-11T23:31:10,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000137,2026-09-12T23:09:13,Street Condition,BROOKLYN,Crown Heights,DOT,Dir. Samantha Chen,Open,,45.2,72,NO,
SR-2026-20000138,2026-09-11T19:51:13,Noise - Street/Sidewalk,BRONX,Pelham Bay,NYPD,Lt. Marcus Webb,Closed,2026-09-12T12:59:26,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000139,2026-09-10T01:27:13,PAINT/PLASTER,QUEENS,Forest Hills,HPD,Director Priya Nair,Open,,114.9,168,NO,
SR-2026-20000140,2026-09-10T10:39:13,Homeless Person Assistance,QUEENS,Jamaica,DHS,Dir. Fatima Hassan,Closed,2026-09-11T11:46:59,,24,NO,The individual accepted shelter placement.
SR-2026-20000141,2026-09-07T17:33:13,Graffiti,BRONX,Tremont,DSNY,Supt. Carlos Rivera,Closed,2026-09-09T18:37:05,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2026-20000142,2026-09-08T23:37:38,HEAT/HOT WATER,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Closed,2026-09-14T18:39:53,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000143,2026-09-11T06:03:13,Illegal Parking,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Closed,2026-09-11T17:03:03,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000144,2026-09-14T04:31:13,Noise - Commercial,BRONX,Riverdale,NYPD,Lt. Marcus Webb,Open,,15.8,24,NO,
SR-2026-20000145,2026-09-10T19:51:13,Noise - Commercial,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Closed,2026-09-11T12:47:26,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000146,2026-09-11T23:09:13,Rodent,QUEENS,Forest Hills,DOHMH,Dr. James Okafor,Open,,69.2,72,NO,
SR-2026-20000147,2026-09-11T17:33:13,Request Large Bulky Item Collection,BRONX,Fordham,DSNY,Supt. Carlos Rivera,Closed,2026-09-12T09:04:33,,48,NO,Item was collected during the next scheduled pickup.
SR-2026-20000148,2026-09-08T20:22:59,Illegal Parking,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Open,,144.0,24,YES,
SR-2026-20000149,2026-09-09T01:27:13,PLUMBING,BROOKLYN,Bushwick,HPD,Director Priya Nair,Open,,138.9,168,NO,
